,mean,std,min,max,slope,range,meanSCL,stdSCL,stdSCR,corrSCL,numSCR,sumAMP,sumDUR,sumAREA,label
2_0,4.931484905637303,0.2713947364228805,4.50540723224222,5.701133726836829,-0.01532208991725792,0.9187125114381196,4.903759985940635,0.2709484880156987,0.008120813781429245,-0.977663673182646,6,0.1969472796454168,6.319999999999999,0.10224625202065328,0
2_1,4.499254995691644,0.23206362667459113,4.088521843309549,4.864708246856921,-0.013343932768128397,0.8001022087770027,4.48193392130224,0.23149057026253356,0.00444714437391873,-0.996152088671371,4,0.09121403329318234,3.5999999999999996,0.0409607125324662,0
2_2,4.104207526408314,0.21981339474516573,3.765398790782205,4.504694213318371,-0.01265378477834922,0.7587209353098259,4.089673782073897,0.2192946782486732,0.002525297682189042,-0.9968902708319547,16,0.08070887653087011,9.879999999999999,0.026201440375892043,0
2_3,3.7683126248576233,0.17030182053976012,3.4675094639929447,4.100742126974415,-0.009821639331164533,0.588905494297415,3.750157131318947,0.1700069785748005,0.003003606262616216,-0.9988186529255265,11,0.06557557637082567,7.5600000000000005,0.02255121804772383,0
2_4,3.4979690779323307,0.1453853630819191,3.296039165151843,3.7659209310146475,-0.00797856392054097,0.47839469267528045,3.454257047658828,0.14424879889648856,0.008808001646618423,-0.9516389593615835,2,0.10799813031703565,1.32,0.036910761779017635,0
2_5,3.264073229971652,0.12889947204313662,3.0166087424226795,3.498566953208009,-0.007025294794649195,0.42123667588714087,3.220336518528651,0.12811491564371943,0.008642111002017719,-0.9481644645520854,2,0.10782975265530981,1.32,0.036848494285774365,0
2_6,3.023402818470928,0.15457614496467803,2.7714176287865486,3.3260779512027865,-0.008909019467151502,0.5341848072499165,3.0100711607445287,0.15431049357735963,0.0030517670814061144,-0.9981461949371057,20,0.15155063692333792,15.280000000000001,0.05901410174021985,0
2_7,2.781709616744129,0.12612486559026947,2.578316634572142,3.016648606866333,-0.007265523642852045,0.4356407976250676,2.769863850253543,0.12579984190759688,0.0026401597001609214,-0.9976365417640604,12,0.08503960239357378,9.080000000000002,0.03300993720900036,0
2_8,2.5830745913507163,0.10350832302451964,2.412922412284972,2.7714114433991575,-0.005970118131359836,0.35796828315667595,2.5732364337056923,0.10318484218929247,0.002245367086543386,-0.9990042261965282,15,0.08875594012845545,12.48,0.03781643211407615,0
2_9,2.417541763704465,0.08749946790151304,2.275035791559445,2.5812381432616847,-0.0050443761936302955,0.3024607965699091,2.4084592865420325,0.08698209264842256,0.0024807957765363236,-0.9985445702657252,4,0.0355560228152485,3.24,0.012787402282648738,0
2_10,2.2783414711173924,0.07300719744062857,2.161388546366055,2.4122833838662756,-0.0042081539257554645,0.2523209093881502,2.2740124166394557,0.07280386569613559,0.0017283962089311357,-0.9984666760502638,17,0.08812050733650834,10.72,0.02905064862309785,0
2_11,2.15917110504294,0.06444969021312995,2.0499798922891643,2.2791891724368454,-0.003718912532424401,0.22298599544374342,2.1537376907239025,0.06394616825083979,0.0026256410817808175,-0.9994382337437738,1,0.022891921831174056,0.24,0.0027470306197408868,0
2_12,2.050262281250875,0.06137511917806929,1.9452373119188162,2.159123551266263,-0.003541206293522503,0.21233072935923314,2.042692409493761,0.061071777395316273,0.0015911731184248363,-0.9994184020581661,11,0.051029186962144646,6.320000000000001,0.014715794304134569,0
2_13,1.9482344167014851,0.05587549652100236,1.857203220747433,2.047325396117365,-0.0032225221059500875,0.1932224254728545,1.9435787610536988,0.05568200779072596,0.0012412672397581887,-0.9989431882779299,24,0.07853732669047409,11.08,0.01824004526346323,0
2_14,1.8569414772806816,0.048818683456100874,1.776465908338439,1.9451368686008397,-0.0028170987517284196,0.16891324115385253,1.8528983118637559,0.04864550690750698,0.0011221664706788494,-0.9995574318888062,7,0.02932662951889009,4.4399999999999995,0.008925069060158402,0
2_15,1.7795158986815522,0.040440781259806116,1.7167479307788824,1.8739004262805903,-0.0023236201534715395,0.13932426440208245,1.7622286437535453,0.04062672512227109,0.0018046158184491434,-0.9939713445014187,1,0.01834686614604042,1.48,0.01357668094806991,0
2_16,1.7151168482611505,0.03356217115932305,1.6582960093077237,1.7751772752922184,-0.0019348907545346794,0.11601604964181966,1.7117811140889276,0.03340449280522032,0.0011660539383796143,-0.998953477104889,19,0.06673264704951776,9.079999999999998,0.016586376350857232,0
2_17,1.6588631489623518,0.03111175447070276,1.6059108710213306,1.715492845835962,-0.0017946644075228502,0.10760807787504034,1.655624840414458,0.0309724991488195,0.001055427069775597,-0.9995764951878673,32,0.0951581445111982,14.52,0.02176930840484375,0
2_18,1.6072345426382302,0.02855615753161735,1.5585190803067055,1.6599607257278002,-0.0016469408661068385,0.09875057433174295,1.604061388208261,0.028322996901406508,0.0015175560318571055,-0.9990426401895935,1,0.012408023147054914,0.24,0.0014889627776465896,0
2_19,1.5595778866863532,0.02610430072980964,1.5177146973053621,1.6106210455055263,-0.0015013800090613039,0.09002274534314147,1.5554705197723784,0.0257945131778715,0.002111165485519396,-0.9950946632658728,1,0.021349748067747365,0.24,0.002561969768129684,0
