,mean,std,min,max,slope,range,meanSCL,stdSCL,stdSCR,corrSCL,numSCR,sumAMP,sumDUR,sumAREA,label
2_0,1.2873699354225385,0.1480781958000453,1.036815245994038,1.6405350862926944,-0.006636128299186694,0.3965086658764154,1.1504916006830992,0.1415597654141827,0.040003612240701626,-0.8140524702507095,4,0.8464321087117719,4.25,0.432596176577992,0
2_1,1.0696500978334773,0.1588578043676943,0.8062917593598885,1.4390071830192195,-0.008200952243777593,0.4900068965657428,0.9468276483062742,0.15582171292171482,0.024585187793410835,-0.9096970452399836,3,0.474038710038593,4.0,0.3290809848733003,0
2_2,0.8370495261586216,0.12755520281606905,0.6797921157890511,1.1228812119824356,-0.007089034075620226,0.42356978601830186,0.8184637533132263,0.12735335483289142,0.006294289627398749,-0.9643626944529257,4,0.14013883897176727,5.0,0.08167516554598724,0
2_3,0.6707250497903613,0.07480840810991281,0.5423384412619829,0.8186904369392167,-0.004277764871891687,0.2555964510955475,0.6531122085826683,0.07470182071917077,0.004563363651373808,-0.9925666484281332,3,0.08858834443048336,4.25,0.0619866757643672,0
2_4,0.5596808341063403,0.05822710772081648,0.4769847638202551,0.6794396145409971,-0.0031107295850851813,0.18586609270888393,0.5172917824474352,0.05755504296055929,0.008393983058465088,-0.9347611811270502,3,0.21157208597402477,2.75,0.09356505491013999,0
2_5,0.5057191766476428,0.018899835454491594,0.47314633509116716,0.5629505062815272,-0.00047522034985103545,0.028394415903601422,0.4625834175345879,0.016197423628014466,0.009454828466151671,-0.5109757747819158,3,0.21156911838799103,2.75,0.09342949551938703,0
2_6,0.5027816808277259,0.014371005331183549,0.4641853604593422,0.5427169514287811,-8.60774744388948e-05,0.005143129097718413,0.47204582036369114,0.013254345405055877,0.006035831478098124,-0.14416735358602972,2,0.0964789641675004,2.5,0.05396162170396917,0
2_7,0.4724668664790132,0.03826373790659201,0.4063356906357391,0.5421732194662344,-0.0021435181868678654,0.12807521166534114,0.4456422841191455,0.03806069809582453,0.0033553362581660476,-0.9787981423467262,1,0.05156740943127691,0.75,0.019337778536728842,0
2_8,0.41029611617727046,0.03379054665172727,0.3624812384073407,0.4756408033722813,-0.0019168841319259222,0.11453382688257574,0.3997100159966437,0.03372219419476946,0.001887194172383211,-0.984785936190992,2,0.029275123184530405,2.25,0.01796695061583868,0
2_9,0.3688740920460606,0.018832210525301964,0.3362482197133495,0.4058677328250409,-0.0009622570783294204,0.05749486043018237,0.3544576126270212,0.01849445731199388,0.003380243416946955,-0.903137433849232,7,0.09962228896500935,6.0,0.04430458840287025,0
2_10,0.336611255875602,0.02604179142989133,0.28518592980344787,0.3894965053689028,-0.0013969295647771052,0.08346654149543398,0.3222428287581517,0.025674308108616012,0.0041044256153792875,-0.9447730331219198,9,0.1487275681605399,7.5,0.06543194895446894,0
2_11,0.29498956868316706,0.028198565070662283,0.2499279019220992,0.35906415554101395,-0.0015451733380020816,0.0923241069456174,0.2806069309356091,0.02788899578637198,0.0035530043048014872,-0.9591658108940468,7,0.11692928814170123,6.75,0.05882535867050245,0
2_12,0.25496311691245793,0.02278562929048779,0.2192324744961582,0.31266095406645583,-0.0012328801958687574,0.07366459170315745,0.24540150134976907,0.022565124286646514,0.0028612664248204504,-0.9481084547777795,8,0.10131345829474392,8.25,0.05157123046101475,0
2_13,0.22046115218095855,0.018826478939666224,0.1905302930793061,0.2612408814447894,-0.0010545769323548893,0.06301097170819564,0.21088222352198055,0.018681521800057617,0.002167178652625792,-0.9784971582017614,4,0.053542308089731566,3.75,0.025371852351420702,0
2_14,0.19306112718951393,0.012992802509036816,0.17158999917032397,0.21855818522681622,-0.0007214411596587755,0.0431061092896112,0.18512886927193878,0.012948958641700063,0.0014865004235926577,-0.9707853305666642,2,0.02808995595262856,2.25,0.015633170112023604,0
2_15,0.17556843842368053,0.00879569832098922,0.1587233021091482,0.19224409176021948,-0.00040676389911309396,0.02430414297200595,0.16758196340669293,0.008427645138118769,0.0022128376458666827,-0.8360983032079505,5,0.06267208714794792,5.0,0.03200488316945782,0
2_16,0.16122669866817188,0.009652658801361558,0.14505736676724776,0.18304718661823133,-0.0004868817711993767,0.029091185829167532,0.15321777735223904,0.009451181147226224,0.0017409446942961166,-0.8931220413551991,3,0.03537820740885303,2.75,0.01644584384737471,0
2_17,0.15012425619190659,0.005019031896576177,0.1413201710078889,0.1643332549569713,-0.0002283716220325971,0.013645204416447038,0.14229135378436014,0.004707012686747327,0.0016032684989654984,-0.8398113283356293,1,0.0196468710123667,1.0,0.00982343550618335,0
2_18,0.1426479172576302,0.006390854673889092,0.1269364432798741,0.1643333340740147,-0.00029034332687094544,0.017348013780539073,0.1348466115379804,0.006074506509481853,0.0017387852474164585,-0.8254151724509033,1,0.019664925082684803,1.0,0.009832462541342402,0
2_19,0.1314593660200586,0.008392874617758863,0.11671548572435216,0.14458536007853642,-0.00045839949000647806,0.02738936952789177,0.12873966859352767,0.008330121671660683,0.0010176411529618326,-0.95693688670721,8,0.03133212775975251,7.75,0.015281683560275663,0
2_20,0.1197237548018842,0.005648266550473525,0.10981381734768848,0.1309623177845307,-0.0003156959513693769,0.018862833094325127,0.1172754667755485,0.005552228102160834,0.0009264540897938642,-0.9850860929977215,3,0.013862299705176426,2.5,0.005725119069536632,0
2_21,0.1108086057744535,0.004908437023410371,0.1019081560104588,0.12105526983720416,-0.0002744599326436892,0.016398980975458166,0.1085596116762922,0.004806524636703216,0.0007822027236471273,-0.9815309151609095,9,0.02424029418482461,7.75,0.010383741106970051,0
2_22,0.10279304215279712,0.004541337894657835,0.09508407792643946,0.1131024676648955,-0.0002552214823323129,0.015249483569356459,0.10112903500853453,0.004520542369036617,0.0006565120426834966,-0.9847893272518146,9,0.022125798561544716,8.25,0.009895652799420798,0
2_23,0.10016176134691926,0.006442950059260024,0.09236318002908551,0.11447159035251644,0.00014710420463148743,0.008789476226731971,0.09786009816993088,0.006371954801954513,0.000727126221342952,0.3981802835209905,6,0.018006697321106754,6.75,0.010370925174061013,0
